Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
593,of,772,1083,39,23,2,791.5,1094.5,0.0159500693481276,0.0205263157894736,0,10282e52-797b-4638-b4b8-26994b5b478d
594,locating,839,1081,173,31,2,925.5,1096.5,0.0214979195561719,0.0910526315789473,0,f4f15be4-61da-4c03-903f-e83db071fa91
595,Planet,1036,1082,128,24,2,1100.0,1094.0,0.0166435506241331,0.0673684210526315,0,0cdb89cb-fb0f-43ea-a303-c07b5616c372
596,X,1189,1085,21,21,2,1199.5,1095.5,0.0145631067961165,0.0110526315789473,0,81d43893-7d13-4082-b3ac-d6845ab9cc9e
597,to,1235,1085,39,21,2,1254.5,1095.5,0.0145631067961165,0.0205263157894736,0,50271d09-967a-4301-9f48-f0282650eafb
598,23-year-old,1300,1082,240,29,2,1420.0,1096.5,0.0201109570041608,0.1263157894736842,0,5a6eac51-2bf2-49d1-a0cf-eb7b7f7e4d85
599,Clyde,1564,1082,106,29,2,1617.0,1096.5,0.0201109570041608,0.0557894736842105,0,2c908cee-80f4-4b04-89a3-1681d57bdc0a
600,"Tombaugh,",1696,1082,188,30,2,1790.0,1097.0,0.0208044382801664,0.0989473684210526,0,6255ee0c-9691-479e-b437-32283c58323d
601,who,0,1172,64,24,2,32.0,1184.0,0.0166435506241331,0.0336842105263157,0,72f3ebdb-7297-4dd5-9d6b-ce6a4da3a968
602,had,89,1172,65,24,2,121.5,1184.0,0.0166435506241331,0.0342105263157894,0,a95a9825-2bf3-4164-97bc-56f96bd3db30
603,just,178,1171,84,31,2,220.0,1186.5,0.0214979195561719,0.0442105263157894,0,a016a39e-5e1d-43d4-8368-d4acaabc44d7
604,arrived,288,1171,152,25,2,364.0,1183.5,0.0173370319001386,0.08,0,7788aaad-83f4-40d1-8c5b-f139c6362d93
605,at,464,1175,40,21,2,484.0,1185.5,0.0145631067961165,0.0210526315789473,0,58fc49f4-808d-401a-9615-1fa5e7060f34
