Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
131,bargain.,748,811,168,31,0,832.0,826.5,0.0214979195561719,0.0884210526315789,0,37d5f45d-9e9b-4af7-aaab-b44f96e85a17
132,Each,948,812,86,24,0,991.0,824.0,0.0166435506241331,0.0452631578947368,0,437c38be-cd47-4c71-a2a6-e1d716fb3492
133,prisoner,1056,811,173,31,0,1142.5,826.5,0.0214979195561719,0.0910526315789473,0,e51e2b9d-b025-41c9-aaf1-fad1a2bf412e
134,is,1258,811,38,25,0,1277.0,823.5,0.0173370319001386,0.02,0,5bc5c55e-d834-4dfe-9a20-b25d8f2e5a9e
135,given,1322,811,108,31,0,1376.0,826.5,0.0214979195561719,0.0568421052631578,0,2a8fd213-0b30-45ed-8752-4583c74e6bf1
136,the,1455,812,61,24,0,1485.5,824.0,0.0166435506241331,0.0321052631578947,0,13d23fc7-10db-4603-9876-1c0002993605
137,opportunity,1542,811,239,31,0,1661.5,826.5,0.0214979195561719,0.1257894736842105,0,b643c6b1-8bae-4a8c-980f-f9d50c091c3c
138,either,2,901,127,25,0,65.5,913.5,0.0173370319001386,0.0668421052631579,0,6beb9ee9-fedf-46cc-a261-0d03ee1e8a2a
139,to:,157,905,55,21,0,184.5,915.5,0.0145631067961165,0.0289473684210526,0,9dca1784-2dd8-4e3e-99b6-080199c6b945
140,betray,242,902,131,29,0,307.5,916.5,0.0201109570041608,0.0689473684210526,0,98df9db2-4112-4c10-87bf-1ac0a38fb10a
141,the,399,902,61,24,0,429.5,914.0,0.0166435506241331,0.0321052631578947,0,5c03430c-8412-4343-b318-db67651e98dd
142,other,486,902,105,24,0,538.5,914.0,0.0166435506241331,0.0552631578947368,0,7c34c12b-b9e9-4da3-9d64-f6689fec851a
143,by,616,902,43,29,0,637.5,916.5,0.0201109570041608,0.0226315789473684,0,54adbe4d-f49d-4e37-a082-6567e31daf9f
144,testifying,685,901,217,31,0,793.5,916.5,0.0214979195561719,0.1142105263157894,0,72fb023f-d7b5-4ee8-a95d-4f056788c107
145,that,927,902,83,24,0,968.5,914.0,0.0166435506241331,0.0436842105263157,0,0a6e268a-6585-48e7-862c-8c7760cbb6a6
146,the,1037,902,61,24,0,1067.5,914.0,0.0166435506241331,0.0321052631578947,0,36eab13c-22c0-4caa-8364-747492130df2
147,other,1124,902,105,24,0,1176.5,914.0,0.0166435506241331,0.0552631578947368,0,65b9fbfa-85fa-42c6-a8e3-ab5550f0c905
148,committed,1256,901,196,25,0,1354.0,913.5,0.0173370319001386,0.1031578947368421,0,6be388f2-5587-4db3-9e9d-040ea0c1e79d
149,the,1477,902,61,24,0,1507.5,914.0,0.0166435506241331,0.0321052631578947,0,572add66-acff-4beb-950b-5b7f84fb9e69
150,"crime,",1564,901,122,29,0,1625.0,915.5,0.0201109570041608,0.0642105263157894,0,3949a2c9-c980-459d-a841-7640aeb88aa6
151,or,1718,909,39,17,0,1737.5,917.5,0.0117891816920943,0.0205263157894736,0,84ea67b6-f783-4376-959a-07bd24b1e6ff
152,to,1785,905,39,21,0,1804.5,915.5,0.0145631067961165,0.0205263157894736,0,0a1c44f0-445f-4366-b5ce-8e1188a546ae
153,cooperate,2,995,194,27,0,99.0,1008.5,0.0187239944521497,0.1021052631578947,0,e2095542-0fa2-4222-8b45-1ae132b601c6
154,with,220,991,88,25,0,264.0,1003.5,0.0173370319001386,0.0463157894736842,0,55c33aa0-33c4-49b9-8298-b04e2c1d96fe
155,the,333,992,61,24,0,363.5,1004.0,0.0166435506241331,0.0321052631578947,0,09cd2f89-1f89-489d-9d0e-9b5fc5802795
156,other,420,992,105,24,0,472.5,1004.0,0.0166435506241331,0.0552631578947368,0,cfe68af5-da48-4eb5-ad4a-f9138dc8ea9f
157,by,550,992,43,29,0,571.5,1006.5,0.0201109570041608,0.0226315789473684,0,3afa1c12-13f2-4c4d-a431-060e79a9d8de
158,remaining,618,991,196,31,0,716.0,1006.5,0.0214979195561719,0.1031578947368421,0,60e34b4e-6bf5-4d37-a18f-89e534be6a63
