Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
156,Book,111,1082,86,24,0,154.0,1094.0,0.0166435506241331,0.0452631578947368,0,0c97e520-6116-45b5-8b5d-eafae083a4d3
157,and,222,1082,64,24,0,254.0,1094.0,0.0166435506241331,0.0336842105263157,0,4ba30690-847b-4624-968b-eb9a0d247e79
158,Manuscript,308,1081,218,31,0,417.0,1096.5,0.0214979195561719,0.1147368421052631,0,19dbf8cf-a043-4b5e-b3a8-484737acb8db
159,Library,552,1081,151,30,0,627.5,1096.0,0.0208044382801664,0.0794736842105263,0,f936fd15-7bf2-449f-9d9b-8513d801a2c5
160,in,730,1081,40,25,0,750.0,1093.5,0.0173370319001386,0.0210526315789473,0,a7632725-3fe9-4fa1-be1f-7c9ab98bf007
161,"1969,",795,1085,99,25,0,844.5,1097.5,0.0173370319001386,0.0521052631578947,0,c7b955d1-567c-4f36-bd67-1c67d9c177f6
162,where,924,1082,108,24,0,978.0,1094.0,0.0166435506241331,0.0568421052631578,0,2e076d46-6030-47d4-80dd-8192f28fe13f
163,it,1060,1081,38,25,0,1079.0,1093.5,0.0173370319001386,0.02,0,9ce324ea-d1dc-4856-9db1-c3a745611886
164,is,1126,1081,38,25,0,1145.0,1093.5,0.0173370319001386,0.02,0,4da32163-b6ac-4dd3-9f13-6e8bdaecbc9b
165,catalogued,1190,1082,218,30,0,1299.0,1097.0,0.0208044382801664,0.1147368421052631,0,4cc4f9a1-bcc0-411c-8b9e-7603181b20a5
166,under,1431,1082,106,24,0,1484.0,1094.0,0.0166435506241331,0.0557894736842105,0,05534940-92af-4290-b8c9-bae99162fdff
167,call,1564,1082,83,24,0,1605.5,1094.0,0.0166435506241331,0.0436842105263157,0,0476c6cd-7f5c-4068-be3b-240dcffe2abd
168,number,1673,1082,128,24,0,1737.0,1094.0,0.0166435506241331,0.0673684210526315,0,4f251210-348e-49a7-bf83-48077fa95eba
169,MS,1826,1084,42,22,0,1847.0,1095.0,0.015256588072122,0.0221052631578947,0,bf5c398f-6320-4201-b4d3-367fc39f9237
170,408.,2,1175,78,21,0,41.0,1185.5,0.0145631067961165,0.0410526315789473,0,29fddabf-29af-4d60-ba39-17c87faa301b
171,The,112,1172,62,24,0,143.0,1184.0,0.0166435506241331,0.0326315789473684,0,a085554f-6acd-4e48-9189-91a55ae67175
172,manuscript,198,1171,218,31,0,307.0,1186.5,0.0214979195561719,0.1147368421052631,0,1dfc75c9-2a70-4715-aa2e-5beffdd7a180
173,measures,440,1178,174,18,0,527.0,1187.0,0.0124826629680998,0.091578947368421,0,0e6c3f75-4a58-4e00-8a13-2bd6b4dc7fc9
174,23.5,640,1175,83,21,0,681.5,1185.5,0.0145631067961165,0.0436842105263157,0,be0ce8ea-d8b4-4c0d-9008-675893ca6df8
175,by,748,1172,43,29,0,769.5,1186.5,0.0201109570041608,0.0226315789473684,0,146d6305-87ef-4689-9ac4-03da480d4d70
