words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key
"2014,",1696,905,100,25,0,1746.0,917.5,0.0173370319001386,0.0526315789473684,d6856814-fd33-4392-9324-dd824af61a65
Pluto,2,992,106,24,0,55.0,1004.0,0.0166435506241331,0.0557894736842105,d1b6b637-b6fe-4786-9a52-c45df653c702
was,132,998,64,18,0,164.0,1007.0,0.0124826629680998,0.0336842105263157,ccc96362-9eb6-469b-9d45-479103f307ed
32.6,224,995,81,21,0,264.5,1005.5,0.0145631067961165,0.0426315789473684,e89f86a2-febc-4124-9d35-8d12af6e3d3f
AU,330,995,44,21,0,352.0,1005.5,0.0145631067961165,0.0231578947368421,1cac61dd-e1bd-4a1b-975a-b3e70140d047
from,399,993,85,23,0,441.5,1004.5,0.0159500693481276,0.0447368421052631,b0353af4-b4e4-49f2-8b5a-ce6b257ba18c
the,509,992,61,24,0,539.5,1004.0,0.0166435506241331,0.0321052631578947,8795290d-6165-42ec-8968-d21c03ec2338
Sun.,596,994,78,22,0,635.0,1005.0,0.015256588072122,0.0410526315789473,9d22eb6b-4b26-4529-8d0d-d81115ff8182
Light,706,991,106,31,0,759.0,1006.5,0.0214979195561719,0.0557894736842105,7cb48af7-5b57-45ab-a0ae-efcc3edbbd1e
from,839,993,85,23,0,881.5,1004.5,0.0159500693481276,0.0447368421052631,4a0cca22-be65-402d-a3af-1989a168f5a2
the,949,992,61,24,0,979.5,1004.0,0.0166435506241331,0.0321052631578947,85f39405-7714-4e69-9f04-e2dac0563249
Sun,1036,994,64,22,0,1068.0,1005.0,0.015256588072122,0.0336842105263157,dcd73730-cb4f-45da-932e-6418dbd690b4
takes,1125,992,105,24,0,1177.5,1004.0,0.0166435506241331,0.0552631578947368,757beffa-83cd-4d32-a1d6-748224532329
about,1256,992,106,24,0,1309.0,1004.0,0.0166435506241331,0.0557894736842105,1ffe2dc5-3198-4292-9383-65273791f745
5.5,1389,995,60,21,0,1419.0,1005.5,0.0145631067961165,0.031578947368421,584e8535-1906-4df3-8a0c-aa97fca91b7e
hours,1475,992,107,24,0,1528.5,1004.0,0.0166435506241331,0.0563157894736842,418781c0-3642-44c0-8b03-250fa4d8934e
to,1609,995,39,21,0,1628.5,1005.5,0.0145631067961165,0.0205263157894736,ecca8c38-4e3d-4f32-81ea-38c52833b246
reach,1674,992,108,24,0,1728.0,1004.0,0.0166435506241331,0.0568421052631578,657b355b-e278-478b-80e9-3453e8b784bd
Pluto,2,1082,106,24,0,55.0,1094.0,0.0166435506241331,0.0557894736842105,9a99f1d3-bf89-410e-ab52-daced6f74929
at,134,1085,40,21,0,154.0,1095.5,0.0145631067961165,0.0210526315789473,a63b878b-52f3-4263-b703-ebd3db76ef60
its,202,1081,60,25,0,232.0,1093.5,0.0173370319001386,0.031578947368421,15913b85-fa6e-416b-9b41-79c5743fc048
average,288,1089,150,23,0,363.0,1100.5,0.0159500693481276,0.0789473684210526,3d4d67d9-3bf1-4f88-8bb4-b173c6c15fd0
distance,463,1081,173,25,0,549.5,1093.5,0.0173370319001386,0.0910526315789473,bfcfb2fe-4b48-4c32-9b82-dec4a029eb89
(39.4,670,1082,97,27,0,718.5,1095.5,0.0187239944521497,0.0510526315789473,bc595506-3147-44ae-a750-5725f368bd49
AU).,792,1082,80,27,0,832.0,1095.5,0.0187239944521497,0.0421052631578947,b397b930-c20e-4281-a28f-f96e2995c66c
Pluto,68,1172,106,24,0,121.0,1184.0,0.0166435506241331,0.0557894736842105,75fc2d5f-ce3a-4725-9db4-e419acf44dd9
was,198,1178,64,18,0,230.0,1187.0,0.0124826629680998,0.0336842105263157,ac5a13c9-b9f9-4676-9b68-eeb7631cb9ac
discovered,287,1171,219,25,0,396.5,1183.5,0.0173370319001386,0.1152631578947368,ea76ffdb-10b4-44cf-aaf0-53893709c0a0
in,532,1171,40,25,0,552.0,1183.5,0.0173370319001386,0.0210526315789473,1c45e6cd-90e7-4d16-a49e-f45b42e03fb1
1930,597,1175,82,21,0,638.0,1185.5,0.0145631067961165,0.0431578947368421,c3999292-e47a-4d20-91aa-2cb74401d118
by,704,1172,43,29,0,725.5,1186.5,0.0201109570041608,0.0226315789473684,9f3277c9-7643-49e4-9e06-2e1b1d421b03
Clyde,772,1172,106,29,0,825.0,1186.5,0.0201109570041608,0.0557894736842105,f3b869aa-126d-41cf-b868-a47fabde6c85
"Tombaugh,",904,1172,188,30,0,998.0,1187.0,0.0208044382801664,0.0989473684210526,9a7fa5a8-7970-4800-b6bb-351ab6a89b54
and,1124,1172,64,24,0,1156.0,1184.0,0.0166435506241331,0.0336842105263157,32409de2-2ce5-4e9e-88ff-d03617e65f43
it,1214,1171,38,25,0,1233.0,1183.5,0.0173370319001386,0.02,6e3c5cb0-253a-4cdc-a899-0056e71f24c0
was,1276,1178,64,18,0,1308.0,1187.0,0.0124826629680998,0.0336842105263157,ff3c1c08-3a6a-4238-b11c-22b55103c527
originally,1366,1171,217,31,0,1474.5,1186.5,0.0214979195561719,0.1142105263157894,a0b45d31-fb8a-4acc-a6ea-060aeaa633e6
considered,1608,1171,218,25,0,1717.0,1183.5,0.0173370319001386,0.1147368421052631,9d370cbc-fda6-476f-80d6-25eb484332c3
the,3,1262,61,24,0,33.5,1274.0,0.0166435506241331,0.0321052631578947,7effbb5d-bc21-4fad-b0b5-b2c50dd434bd
ninth,89,1261,109,25,0,143.5,1273.5,0.0173370319001386,0.0573684210526315,bcd39537-02ac-4340-87ab-991ca22d4bfc
planet,220,1262,130,30,0,285.0,1277.0,0.0208044382801664,0.0684210526315789,41d0fb72-27e3-48d6-9dc5-8c771a1aff10
from,377,1263,85,23,0,419.5,1274.5,0.0159500693481276,0.0447368421052631,42d1771b-7abf-4039-be78-29c4ad5fd434
the,487,1262,61,24,0,517.5,1274.0,0.0166435506241331,0.0321052631578947,aab2f79e-ce5c-47da-9844-7fbf82205d45
Sun.,574,1264,78,22,0,613.0,1275.0,0.015256588072122,0.0410526315789473,224da40e-9b35-4d90-8b5a-c9a74b39492f
After,682,1263,107,23,0,735.5,1274.5,0.0159500693481276,0.0563157894736842,651071c3-ccb5-4783-9629-e9c5c02c38d7
"1992,",817,1265,99,25,0,866.5,1277.5,0.0173370319001386,0.0521052631578947,dc0218f8-acf2-41a4-9c42-56341e177225
its,950,1261,60,25,0,980.0,1273.5,0.0173370319001386,0.031578947368421,1219bea3-30ea-4e7c-a794-897cb8bb9572
status,1037,1265,127,21,0,1100.5,1275.5,0.0145631067961165,0.0668421052631579,34a19d12-a025-40fa-af21-783486d4d2af
as,1190,1268,40,18,0,1210.0,1277.0,0.0124826629680998,0.0210526315789473,d86d3f6c-7629-448e-9595-33eeaa133d92
a,1256,1269,19,17,0,1265.5,1277.5,0.0117891816920943,0.01,b3193309-a61c-4696-9386-d346e575f75c
planet,1298,1262,130,30,0,1363.0,1277.0,0.0208044382801664,0.0684210526315789,d8b672b7-7776-4a22-ba4e-df18354cf08f
fell,1455,1262,82,24,0,1496.0,1274.0,0.0166435506241331,0.0431578947368421,0b018844-7c05-4c7b-88da-6ed8362c208c
